Offense,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Violent crime total,288460,289390,301510,316970,364220,387390,430180,499930,595010,661870,738820,816500,834900,875910,974720,1039710,1004210,1029580,1085550,1208030,1344520,1361820,1322390,1258087,1273282,1327767,1489169,1483999,1566221,1646037,1820127,1911767,1932274,1926017,1857670,1798792,1688540,1636096,1533887,1426044,1425486,1439480,1423677,1383676,1360088,1390745,1435123,1422970,1394461,1325896,1251248,1206031,1217067,1199684,1197987
Murder and nonnegligent Manslaughter,9110,8740,8530,8640,9360,9960,11040,12240,13800,14760,16000,17780,18670,19640,20710,20510,18780,19120,19560,21460,23040,22520,21010,19308,18692,18976,20613,20096,20675,21500,23438,24703,23760,24526,23326,21606,19645,18208,16974,15522,15586,16037,16229,16528,16148,16740,17309,17128,16465,15399,14722,14661,14866,14319,14249
Legacy rape /1,17190,17220,17550,17650,21420,23410,25820,27620,31670,37170,37990,42260,46850,51400,55400,56090,57080,63500,67610,76390,82990,82500,78770,78918,84233,87671,91459,91111,92486,94504,102555,106593,109062,106014,102216,97470,96252,96153,93144,89411,90178,90863,95235,93883,95089,94347,94472,92160,90750,89241,85593,84175,85141,82109,84041
Robbery,107840,106670,110860,116470,130390,138690,157990,202910,262840,298850,349860,387700,376290,384220,442400,470500,427810,412610,426930,480700,565840,592910,553130,506567,485008,497874,542775,517704,542968,578326,639271,687732,672478,659870,618949,580509,535594,498534,447186,409371,408016,423557,420806,414235,401470,417438,449246,447324,443563,408742,369089,354772,355051,345095,325802
Aggravated assault,154320,156760,164570,174210,203050,215330,235330,257160,286700,311090,334970,368760,393090,420650,456210,492620,500530,534350,571460,629480,672650,663900,669480,653294,685349,723246,834322,855088,910092,951707,1054863,1092739,1126974,1135607,1113179,1099207,1037049,1023201,976583,911740,911706,909023,891407,859030,847381,862220,874096,866358,843683,812514,781844,752423,762009,726575,741291
Property crime total,3095700,3198600,3450700,3792500,4200400,4352000,4793300,5403500,6125200,6749000,7359200,7771700,7413900,7842200,9278700,10252700,10345500,9955000,10123400,11041500,12063700,12061900,11652000,10850543,10608473,11102590,11722700,12024709,12356865,12605412,12655486,12961116,12505917,12218777,12131873,12063935,11805323,11558475,10951827,10208334,10182584,10437189,10455277,10442862,10319386,10174754,10019601,9882212,9774152,9337060,9112625,9052743,9001992,8650761,8277829
Burglary,912100,949600,994300,1086400,1213200,1282500,1410100,1632100,1858900,1981900,2205000,2399300,2375500,2565500,3039200,3265300,3108700,3071500,3128300,3327700,3795200,3779700,3447100,3129851,2984434,3073348,3241410,3236184,3218077,3168170,3073909,3157150,2979884,2834808,2712774,2593784,2506400,2460526,2332735,2100739,2050992,2116531,2151252,2154834,2144446,2155448,2194993,2190198,2228887,2203313,2168459,2185140,2109932,1931835,1729806
Larceny-theft,1855400,1913000,2089600,2297800,2514400,2572600,2822000,3111600,3482700,3888600,4225800,4424200,4151200,4347900,5262500,5977700,6270800,5905700,5991000,6601000,7136900,7194400,7142500,6712759,6591874,6926380,7257153,7499851,7705872,7872442,7945670,8142228,7915199,7820909,7879812,7997710,7904685,7743760,7376311,6955520,6971590,7092267,7057379,7026802,6937089,6783447,6626363,6591542,6586206,6338095,6204601,6151095,6168874,6018632,5858496
Motor vehicle theft,328200,336000,366800,408300,472800,496900,561200,659800,783600,878500,928400,948200,887200,928800,977100,1009600,966000,977700,1004100,1112800,1131700,1087800,1062400,1007933,1032165,1102862,1224137,1288674,1432916,1564800,1635907,1661738,1610834,1563060,1539287,1472441,1394238,1354189,1242781,1152075,1160002,1228391,1246646,1261226,1237851,1235859,1198245,1100472,959059,795652,739565,716508,723186,700294,689527
Violent Crime rate,160.9,158.1,162.3,168.2,190.6,200.2,220,253.2,298.4,328.7,363.5,396,401,417.4,461.1,487.8,467.8,475.9,497.8,548.9,596.6,593.5,570.8,538.1,539.9,558.1,620.1,612.5,640.6,666.9,729.6,758.2,757.7,747.1,713.6,684.5,636.6,611,567.6,523,506.5,504.5,494.4,475.8,463.2,469,479.3,471.8,458.6,431.9,404.5,387.1,387.8,379.1,375.7
